"ID";"REG1";"Event";"DIM";"Date";"Remark";"R";"T";"B";"Technician";"ET Donor Dam";"ET Donor Reg";
       458 ;276001272845901 ;BESAMT     ;  56 ;03/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
       458 ;276001272845901 ;BESAMT     ;  64 ;11/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
       458 ;276001272845901 ;BESAMT     ;  88 ;04/11/24;SLAVIA          ;P ; 2 ;G ;S�ren      7         ;;;
       460 ;276001406122314 ;BESAMT     ; 269 ;29/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       460 ;276001406122314 ;BESAMT     ; 290 ;19/11/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
       462 ;276001406280174 ;BESAMT     ;  88 ;09/10/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       470 ;276001406280247 ;BESAMT     ; 101 ;22/10/24;SLAVIA          ;O ; 5 ;C ;Stefan     278       ;;;
       470 ;276001406280247 ;BESAMT     ; 128 ;18/11/24;NIGHTBLU.B      ;P ; 5 ;C ;Stefan     278       ;;;
       470 ;276001406280247 ;BESAMT     ; 151 ;11/12/24;ZINGLER         ;C ; 5 ;C ;Stefan     278       ;;;
       489 ;276001405598402 ;BESAMT     ; 379 ;23/10/24;NIGHTBLU.B      ;P ; 4 ;G ;Annett     300       ;;;
       491 ;276001405883875 ;BESAMT     ; 229 ;25/10/24;NIGHTBLU.B      ;P ; 5 ;O ;Stefan     278       ;;;
       527 ;276001405639746 ;BESAMT     ; 247 ;18/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
       527 ;276001405639746 ;BESAMT     ; 250 ;21/10/24;SLAVIA          ;O ; 2 ;C ;S�ren      7         ;;;
       527 ;276001405639746 ;BESAMT     ; 272 ;12/11/24;NIGHTBLU.B      ;- ; 2 ;C ;S�ren      7         ;;;
       531 ;276001406356375 ;BESAMT     ; 249 ;04/10/24;NIGHTBLU.B      ;P ; 4 ;O ;Annett     300       ;;;
       542 ;276001406531605 ;BESAMT     ; 152 ;04/10/24;NIGHTBLU.B      ;O ; 4 ;O ;Annett     300       ;;;
       542 ;276001406531605 ;BESAMT     ; 171 ;23/10/24;NIGHTBLU.B      ;O ; 4 ;G ;Annett     300       ;;;
       542 ;276001406531605 ;BESAMT     ; 208 ;29/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
       543 ;276001406531794 ;BESAMT     ; 126 ;28/10/24;NIGHTBLU.B      ;C ; 5 ;C ;Stefan     278       ;;;
       545 ;276001406280050 ;BESAMT     ; 143 ;01/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       564 ;276001405699196 ;BESAMT     ; 284 ;18/10/24;LIENONME        ;O ; 2 ;C ;S�ren      7         ;;;
       564 ;276001405699196 ;BESAMT     ; 320 ;23/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
       566 ;276001404907066 ;BESAMT     ; 245 ;01/11/24;NIGHTBLU.B      ;P ; 4 ;O ;Annett     300       ;;;
       567 ;276001406531695 ;BESAMT     ; 251 ;11/10/24;RIVARIDG        ;P ; 5 ;C ;Stefan     278       ;;;
       579 ;276001406468097 ;BESAMT     ;  91 ;16/10/24;LIENONME        ;O ; 5 ;C ;Stefan     278       ;;;
       579 ;276001406468097 ;BESAMT     ; 114 ;08/11/24;RIVARIDG        ;P ; 5 ;C ;Stefan     278       ;;;
       588 ;276001406703166 ;BESAMT     ; 129 ;11/10/24;RIVARIDG        ;P ; 5 ;O ;Stefan     278       ;;;
       598 ;276001406531728 ;BESAMT     ;  74 ;25/10/24;RIVARIDG        ;P ; 5 ;O ;Stefan     278       ;;;
       598 ;276001406531728 ;BESAMT     ;  79 ;30/10/24;RIVARIDG        ;C ; 5 ;C ;Stefan     278       ;;;
       605 ;276001405818957 ;BESAMT     ; 164 ;11/10/24;NIGHTBLU.B      ;O ; 2 ;C ;S�ren      7         ;;;
       605 ;276001405818957 ;BESAMT     ; 193 ;09/11/24;NIGHTBLU.B      ;P ; 4 ;C ;Annett     300       ;;;
       606 ;276001406703169 ;BESAMT     ; 177 ;05/10/24;NIGHTBLU.B      ;O ; 5 ;C ;Stefan     278       ;;;
       606 ;276001406703169 ;BESAMT     ; 204 ;01/11/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       612 ;276001405346023 ;BESAMT     ; 189 ;18/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
       617 ;276001405883929 ;BESAMT     ; 241 ;12/10/24;NIGHTBLU.B      ;P ; 3 ;C ;Sjoerd     278       ;;;
       622 ;276001406356288 ;BESAMT     ; 252 ;09/10/24;NIGHTBLU.B      ;P ; 2 ;C ;S�ren      7         ;;;
       635 ;276001406356424 ;BESAMT     ;  77 ;04/10/24;SLAVIA          ;O ; 5 ;O ;Stefan     278       ;;;
